"","NCT.Number","Recruitment","Conditions","Interventions","Sponsor.Collaborators","Phases","Enrollment","Funded.Bys","Study.Type","Start.Date","Completion.Date","country","start_year","Completion_year","start_month","Completion_month","duration","ROR"
"6017","NCT02637024","Active, not recruiting","Breast Cancer","Radiation: APBI: 30 Gy|Radiation: APBI: 27.5 Gy","Ontario Clinical Oncology Group (OCOG)","Phase 2","280","Other","Interventional","May 2016","October 2023","Canada","2016","2023","5","10","89","3.14606741573034"
"6018","NCT00118508","Completed","Breast Cancer","Drug: risedronate (including placebo)","University of Pittsburgh","NA","87","Other|Industry","Interventional","May 2003","July 2006","United States of America","2003","2006","5","7","38","2.28947368421053"
"6019","NCT01296555","Recruiting","Breast Cancer","Drug: Fulvestrant|Drug: GDC-0032|Drug: Letrozole|Drug: Midazolam","Genentech, Inc.","Phase 1","724","Industry","Interventional","March 16, 2011","November 23, 2022","Spain","2011","2022","3","11","140","5.17142857142857"
"6020","NCT00792077","Active, not recruiting","Breast Cancer","Drug: Lenalidomide","M.D. Anderson Cancer Center","NA","12","Other","Interventional","November 2008","November 2019","United States of America","2008","2019","11","11","132","0.0909090909090909"
"6021","NCT01903174","Completed","Breast Cancer","Device: AeroForm Breast Tissue Expander","AirXpanders, Inc.","NA","21","Industry","Interventional","June 2012","December 2013","Australia","2012","2013","6","12","18","1.16666666666667"
"6022","NCT02512237","Recruiting","Breast Cancer","Drug: ARX788","Zhejiang Medicine Co., Ltd.","Phase 1","80","Industry","Interventional","March 2016","December 2018","New Zealand","2016","2018","3","12","33","2.42424242424242"
"6023","NCT01482156","Completed","Breast Cancer","Drug: RAD001 + BEZ235","Novartis Pharmaceuticals","Phase 1","46","Industry","Interventional","January 2012","February 2015","United Kingdom","2012","2015","1","2","37","1.24324324324324"
"6024","NCT01112189","Completed","Breast Cancer","Procedure: Autologous transplant|Other: Compressed sleeve treatment","Hospital Universitario Dr. Jose E. Gonzalez","Phase 1|Phase 2","20","Other","Interventional","September 2009","September 2010","Mexico","2009","2010","9","9","12","1.66666666666667"
"6025","NCT00900835","Completed","Breast Cancer","Other: educational intervention|Other: questionnaire administration|Other: study of socioeconomic and demographic variables|Procedure: assessment of therapy complications|Procedure: fatigue assessment and management|Procedure: quality-of-life assessment|Procedure: standard follow-up care","City of Hope Medical Center","NA","470","Other|NIH","Interventional","June 2005","August 2010","United States of America","2005","2010","6","8","62","7.58064516129032"
"6026","NCT01730118","Recruiting","Breast Cancer","Biological: Autologous Ad HER2 dendritic cell vaccine","National Cancer Institute (NCI)","Phase 1","65","NIH","Interventional","November 17, 2012","December 31, 2022","United States of America","2012","2022","11","12","121","0.537190082644628"
"6027","NCT02746328","Active, not recruiting","Breast Cancer","Drug: GTx-024 9 or 18 mg","GTx","Phase 2","12","Industry","Interventional","April 2016","August 2018","United States of America","2016","2018","4","8","28","0.428571428571429"
"6028","NCT02181166","Unknown status","Breast Cancer","Other: Kinesiotherapy|Other: Isquemic compression|Other: High voltage electrical stimulation","University of Sao Paulo","NA","60","Other","Interventional","August 2014","December 2016","Brazil","2014","2016","8","12","28","2.14285714285714"
"6029","NCT01901991","Completed","Breast Cancer","Procedure: Radioactive seed localization (RSL)|Procedure: Wire-guided localization (WGL)","Rigshospitalet, Denmark","NA","410","Other","Interventional","January 2014","February 2016","Denmark","2014","2016","1","2","25","16.4"
"6030","NCT02061332","Active, not recruiting","Breast Cancer","Biological: HER-2 Pulsed Dendritic cell Vaccine","Abramson Cancer Center of the University of Pennsylvania","Phase 1|Phase 2","58","Other","Interventional","July 2009","December 2018","United States of America","2009","2018","7","12","113","0.513274336283186"
"6031","NCT02202252","Completed","Breast Cancer","Procedure: Insertion of a single drain|Procedure: Insertion of double drains|Procedure: Ultrasonography after removal of the drains","Ankara Diskapi Training and Research Hospital","NA","60","Other","Interventional","July 2014","February 2015","Turkey","2014","2015","7","2","7","8.57142857142857"
"6032","NCT01587248","Completed","Breast Cancer","Device: Harmonic|Procedure: electrocautery","Aga Khan University","Phase 3","152","Other","Interventional","March 2010","August 2011","Pakistan","2010","2011","3","8","17","8.94117647058824"
"6033","NCT02755896","Recruiting","Breast Cancer","Radiation: Arm 1 600 cGY x 5 fractions|Radiation: Arm 2 800 cGY x 3 fractions","Weill Medical College of Cornell University","NA","284","Other","Interventional","July 2015","July 2020","United States of America","2015","2020","7","7","60","4.73333333333333"
"6034","NCT02133703","Enrolling by invitation","Breast Cancer","Behavioral: Enhanced Internet DA|Behavioral: Internet DA|Behavioral: Enhanced Print DA|Behavioral: Print DA|Behavioral: Inconclusive Results DA","Georgetown University","NA","600","Other|NIH","Interventional","October 2015","July 2018","United States of America","2015","2018","10","7","33","18.1818181818182"
"6035","NCT00857636","Completed","Breast Cancer","Behavioral: Health literacy, health message","Johns Hopkins University","NA","560","Other|NIH","Interventional","November 2009","November 2014","United States of America","2009","2014","11","11","60","9.33333333333333"
"6036","NCT01298713","Active, not recruiting","Breast Cancer","Drug: Tamoxifen|Drug: Everolimus","ARCAGY/ GINECO GROUP","Phase 2","111","Other|Industry","Interventional","March 2008","December 2018","France","2008","2018","3","12","129","0.86046511627907"
"6037","NCT01138046","Completed","Breast Cancer","Drug: Lapatinib in combination with weekly paclitaxel","GlaxoSmithKline","Phase 2","12","Industry","Interventional","April 2010","January 2014","Japan","2010","2014","4","1","45","0.266666666666667"
"6038","NCT00210210","Completed","Breast Cancer","Drug: Ketamine","Institut Bergonié","Phase 3","230","Other","Interventional","February 2004","December 2005","France","2004","2005","2","12","22","10.4545454545455"
"6039","NCT02557906","Active, not recruiting","Breast Cancer","Procedure: Breast reconstruction - implant and an ADM (SurgiMend)|Procedure: Breast reconstruction- autologous tissue|Procedure: Breast reconstruction- implant + dermal sling/LD flap","King's College London","NA","209","Other|Industry","Interventional","July 2014","January 2018","United Kingdom","2014","2018","7","1","42","4.97619047619048"
"6040","NCT00849329","Completed","Breast Cancer","Drug: lapatinib|Drug: lapatinib plus esomeprazole","GlaxoSmithKline","Phase 1","12","Industry","Interventional","March 10, 2009","November 24, 2009","Spain","2009","2009","3","11","8","1.5"
"6041","NCT00709761","Active, not recruiting","Breast Cancer","Drug: Lapatinib/nab-Paclitaxel","Novartis Pharmaceuticals","Phase 2","60","Industry","Interventional","July 2008","December 2017","United States of America","2008","2017","7","12","113","0.530973451327434"
"6042","NCT02529384","Recruiting","Breast Cancer","Other: Breast magnetic resonance scanning","Tang-Du Hospital","NA","100","Other","Observational","January 2015","December 2019","China","2015","2019","1","12","59","1.69491525423729"
"6043","NCT00355381","Unknown status","Breast Cancer","Behavioral: Information Services (IRx)","Johns Hopkins University","Phase 2","299","Other","Interventional","September 2004","September 2009","United States of America","2004","2009","9","9","60","4.98333333333333"
"6044","NCT00829959","Completed","Breast Cancer","Behavioral: Questionnaire","M.D. Anderson Cancer Center","NA","156","Other","Observational","February 2009","August 2016","United States of America","2009","2016","2","8","90","1.73333333333333"
"6045","NCT01384526","Completed","Breast Cancer","NA","University of California, San Francisco","NA","266","Other","Observational","June 2011","March 2015","United States of America","2011","2015","6","3","45","5.91111111111111"
"6046","NCT02872363","Recruiting","Breast Cancer","Other: Intervention A - Behavioural Regulation|Other: Intervention B - Priority","Imperial College Healthcare NHS Trust","NA","12000","Other","Interventional","August 9, 2016","May 2017","United Kingdom","2016","2017","8","5","9","1333.33333333333"
"6047","NCT00059943","Completed","Breast Cancer","Drug: docetaxel","Memorial Sloan Kettering Cancer Center","Phase 2","NA","Other|NIH","Interventional","September 2002","null","United States of America","2002","NA","9","NA","NA","NA"
"6048","NCT01246102","Completed","Breast Cancer","Drug: AT13387","National Cancer Institute (NCI)","Phase 1","31","NIH","Interventional","November 19, 2010","October 27, 2017","United States of America","2010","2017","11","10","83","0.373493975903614"
"6049","NCT00911456","Completed","Breast Cancer","Procedure: Image-Guided Radiation Therapy using 3D Ultrasound Guided-Therapy|Procedure: Ultrasound Guided Imaging|Procedure: 3 DUS","British Columbia Cancer Agency","Phase 3","27","Other","Interventional","October 2009","October 2011","Canada","2009","2011","10","10","24","1.125"
"6050","NCT01973634","Recruiting","Breast Cancer","Radiation: sequential boost (15 x 2.67 Gy WBI + 4 x 2.5 Gy boost)|Radiation: SIB (15 x 2.67 Gy WBI and SIB 15 x 2.67-3.12 Gy)|Radiation: sequential boost (15 x 2.67 Gy WBI + 6 x 2.48 Gy boost)|Radiation: SIB (15 x 2.67 Gy WBI and SIB 15 x 2.67-3.33 Gy)","University Hospital, Ghent","Phase 2","170","Other","Interventional","December 2012","March 2021","Belgium","2012","2021","12","3","99","1.71717171717172"
"6051","NCT00843167","Completed","Breast Cancer","Dietary Supplement: broccoli sprout extract|Other: placebo","OHSU Knight Cancer Institute","Phase 2","54","Other|NIH","Interventional","August 2009","December 2013","United States of America","2009","2013","8","12","52","1.03846153846154"
"6052","NCT00828516","Completed","Breast Cancer","Other: Acupuncture and moxibustion","East and North Hertfordshire NHS Trust","NA","56","Other","Interventional","April 2008","December 2009","United Kingdom","2008","2009","4","12","20","2.8"
"6053","NCT01807754","Enrolling by invitation","Breast Cancer","Procedure: X-ray and ultrasound imaging scanning|Procedure: Photoacoustic imaging scans for breast cancer screening","University of Michigan","NA","160","Other|NIH","Observational","December 2012","December 2018","United States of America","2012","2018","12","12","72","2.22222222222222"
"6054","NCT01700270","Completed","Breast Cancer","Drug: dovitinib (TKI258)|Drug: fluvoxamine","Novartis Pharmaceuticals","Phase 1","45","Industry","Interventional","May 2013","August 2014","Switzerland","2013","2014","5","8","15","3"
"6055","NCT01954641","Active, not recruiting","Breast Cancer","Other: ACCURE Navigator|Other: Usual Care by Cancer Center Care Team","University of North Carolina, Chapel Hill","NA","300","Other|NIH","Interventional","April 2013","March 2018","United States of America","2013","2018","4","3","59","5.08474576271186"
"6056","NCT02239601","Active, not recruiting","Breast Cancer","Other: Physical Therapy","CancerCare Manitoba","NA","56","Other","Interventional","December 1, 2014","December 2017","Canada","2014","2017","12","12","36","1.55555555555556"
"6057","NCT00911898","Completed","Breast Cancer","Drug: MM-111","Merrimack Pharmaceuticals","Phase 1","20","Industry","Interventional","June 2009","March 2012","United States of America","2009","2012","6","3","33","0.606060606060606"
"6058","NCT00859261","Completed","Breast Cancer","Procedure: Experimental 3D Breast Ultrasound imaging|Procedure: Experimental Photoacoustic Imaging","University of Michigan","NA","21","Other|NIH","Interventional","March 2009","February 2015","United States of America","2009","2015","3","2","71","0.295774647887324"
"6059","NCT01357863","Terminated","Breast Cancer","Drug: Treatment","GlaxoSmithKline","NA","3","Industry","Observational","July 2010","February 2011","Brazil","2010","2011","7","2","7","0.428571428571429"
"6060","NCT01537029","Recruiting","Breast Cancer","Drug: Doxorubicin|Drug: Cyclophosphamide","Texas Tech University Health Sciences Center","Phase 4","18","Other","Interventional","February 2012","February 2019","United States of America","2012","2019","2","2","84","0.214285714285714"
"6061","NCT02274480","Recruiting","Breast Cancer","Device: cardiac MRI with DWI","Memorial Sloan Kettering Cancer Center","NA","30","Other","Observational","October 22, 2014","October 2018","United States of America","2014","2018","10","10","48","0.625"
"6062","NCT00369109","Completed","Breast Cancer","Other: biologic sample preservation procedure|Other: immunohistochemistry staining method|Other: laboratory biomarker analysis|Procedure: biopsy","Barbara Ann Karmanos Cancer Institute","NA","60","Other|NIH","Observational","February 2006","June 2007","United Kingdom","2006","2007","2","6","16","3.75"
"6063","NCT02264678","Recruiting","Breast Cancer","Drug: Administration of AZD6738 in combination with carboplatin|Drug: Administration of AZD6738|Drug: Administration of AZD6738 in combination with olaparib|Drug: Administation of AZD6738 in combination with MEDI4736","AstraZeneca","Phase 1|Phase 2","230","Industry","Interventional","October 21, 2014","November 29, 2019","United Kingdom","2014","2019","10","11","61","3.77049180327869"
"6064","NCT00605982","Active, not recruiting","Breast Cancer","Procedure: MRI","Memorial Sloan Kettering Cancer Center","NA","115","Other","Interventional","October 10, 2006","October 2018","United States of America","2006","2018","10","10","144","0.798611111111111"
"6065","NCT03384095","Not yet recruiting","Breast Cancer","Drug: Hyaluronic Acid (HA)|Other: Placebo","Erin Newton","Phase 2","100","Other","Interventional","June 30, 2018","December 31, 2022","United States of America","2018","2022","6","12","54","1.85185185185185"
"6066","NCT00880503","Completed","Breast Cancer","NA","National Cancer Institute (NCI)","NA","9999","NIH","Observational","December 19, 2003","null","United States of America","2003","NA","12","NA","NA","NA"
"6067","NCT00003002","Completed","Breast Cancer","Biological: HER-2/neu peptide vaccine|Biological: sargramostim","University of Washington","Phase 1","60","Other","Interventional","April 1996","January 2004","United States of America","1996","2004","4","1","93","0.645161290322581"
"6068","NCT02526498","Active, not recruiting","Breast Cancer","Radiation: Accelerated Partial Breast Irradiation|Radiation: High-Dose Rate Brachytherapy|Other: Questionnaire Administration","Rutgers, The State University of New Jersey","Phase 2","200","Other|NIH","Interventional","June 2015","December 2018","United States of America","2015","2018","6","12","42","4.76190476190476"
"6069","NCT01706432","Active, not recruiting","Breast Cancer","Radiation: hyperfractionated radiation therapy|Other: laboratory biomarker analysis|Radiation: stereotactic radiosurgery","University of Chicago","NA","24","Other|NIH","Interventional","June 2009","June 2018","United States of America","2009","2018","6","6","108","0.222222222222222"
"6070","NCT00303875","Completed","Breast Cancer","Behavioral: behavioral dietary and exercise intervention","Duke University","Phase 2","641","Other|NIH","Interventional","December 2003","May 2009","United States of America","2003","2009","12","5","65","9.86153846153846"
"6071","NCT00566280","Completed","Breast Cancer","Procedure: Molecular Breast Imaging","Mayo Clinic","NA","14","Other","Interventional","October 2006","December 2007","United States of America","2006","2007","10","12","14","1"
"6072","NCT01621425","Completed","Breast Cancer","Other: Lean body mass|Other: Total body weight|Other: bloodsampling","Radboud University","NA","25","Other","Observational","June 2012","May 2015","Netherlands","2012","2015","6","5","35","0.714285714285714"
"6073","NCT02970500","Not yet recruiting","Breast Cancer","Drug: Methylphenidate HCl 10Mg SR|Drug: Placebo Comparator","CHU de Quebec-Universite Laval","Phase 2","40","Other|Industry","Interventional","December 2016","December 2018","Canada","2016","2018","12","12","24","1.66666666666667"
"6074","NCT00722059","Completed","Breast Cancer","Procedure: Breast Tomosynthesis","University of Michigan","Early Phase 1","50","Other","Interventional","April 2006","October 2013","United States of America","2006","2013","4","10","90","0.555555555555556"
"6075","NCT01376349","Active, not recruiting","Breast Cancer","Drug: prasterone|Other: placebo","Alliance for Clinical Trials in Oncology","Phase 3","464","Other|NIH","Interventional","July 2011","null","United States of America","2011","NA","7","NA","NA","NA"
"6076","NCT02910622","Completed","Breast Cancer","Other: Chimio-oncogramme","University Hospital, Limoges","NA","30","Other","Observational","June 2012","June 2016","France","2012","2016","6","6","48","0.625"
"6077","NCT00826488","Completed","Breast Cancer","Device: Digital Breast Tomosynthesis","Washington University School of Medicine","Early Phase 1","136","Other","Interventional","March 2009","December 2014","United States of America","2009","2014","3","12","69","1.97101449275362"
"6078","NCT03317405","Not yet recruiting","Breast Cancer","Other: Laboratory Biomarker Analysis|Other: Pharmacological Study|Other: Placebo|Other: Questionnaire Administration|Drug: Z-Endoxifen Hydrochloride","National Cancer Institute (NCI)","Phase 1","38","NIH","Interventional","April 3, 2018","September 1, 2019","United States of America","2018","2019","4","9","17","2.23529411764706"
"6079","NCT00268502","Completed","Breast Cancer","Other: study of socioeconomic and demographic variables|Procedure: fatigue assessment and management|Procedure: management of therapy complications|Procedure: psychosocial assessment and care|Procedure: quality-of-life assessment","Indiana University","NA","195","Other|NIH","Observational","December 2005","April 2014","United States of America","2005","2014","12","4","100","1.95"
"6080","NCT00183963","Terminated","Breast Cancer","Drug: Tamoxifen|Drug: Fulvestrant","University of Southern California","Phase 2","4","Other|Industry","Interventional","August 2006","June 2008","United States of America","2006","2008","8","6","22","0.181818181818182"
"6081","NCT00523809","Terminated","Breast Cancer","Drug: Bevacizumab|Procedure: Allogeneic Hematopoietic Stem Cell Transplantation|Drug: Fludarabine|Drug: Melphalan|Drug: Thymoglobulin","M.D. Anderson Cancer Center","Phase 2","5","Other","Interventional","August 2007","October 2011","United States of America","2007","2011","8","10","50","0.1"
"6082","NCT01898312","Recruiting","Breast Cancer","Drug: Mifepristone","Karolinska Institutet","Phase 2","45","Other","Interventional","September 2013","December 2017","Sweden","2013","2017","9","12","51","0.882352941176471"
"6083","NCT00237627","Completed","Breast Cancer","Drug: PS-341|Drug: Doxil|Drug: Velcade","UNC Lineberger Comprehensive Cancer Center","Phase 1|Phase 2","107","Other|NIH","Interventional","May 2001","January 2010","United States of America","2001","2010","5","1","104","1.02884615384615"
"6084","NCT02755987","No longer available","Breast Cancer","Drug: ANG1005","Angiochem Inc","NA","NA","Industry","Expanded Access","null","null","United States of America","NA","NA","NA","NA","NA","NA"
"6085","NCT01905046","Recruiting","Breast Cancer","Drug: metformin hydrochloride|Other: placebo","Alliance for Clinical Trials in Oncology","Phase 3","128","Other|NIH","Interventional","August 2013","null","United States of America","2013","NA","8","NA","NA","NA"
"6086","NCT00001468","Completed","Breast Cancer","NA","National Human Genome Research Institute (NHGRI)","NA","1500","NIH","Observational","March 1995","February 2001","United States of America","1995","2001","3","2","71","21.1267605633803"
"6087","NCT00421057","Completed","Breast Cancer","Behavioral: Combined Strength Training and Functional Endurance Exercise|Behavioral: Questionnaire","M.D. Anderson Cancer Center","NA","25","Other","Observational","January 2007","March 2009","United States of America","2007","2009","1","3","26","0.961538461538462"
"6088","NCT00849199","Recruiting","Breast Cancer","NA","New York University School of Medicine","NA","2062","Other","Observational","July 2001","December 2019","United States of America","2001","2019","7","12","221","9.33031674208145"
"6089","NCT01306032","Completed","Breast Cancer","Drug: ABT-888|Drug: Cyclophosphamide","National Cancer Institute (NCI)","Phase 2","124","NIH","Interventional","January 12, 2011","December 15, 2016","Canada","2011","2016","1","12","71","1.74647887323944"
"6090","NCT03246009","Completed","Breast Cancer","Drug: rHSA/GCSF","Tianjin SinoBiotech Ltd.","Phase 1","24","Industry","Interventional","January 21, 2016","April 10, 2017","China","2016","2017","1","4","15","1.6"
"6091","NCT01640665","Completed","Breast Cancer","Drug: Sorafenib|Drug: Capecitabine","Yale University","Phase 1","24","Other|Industry","Interventional","July 2012","August 2014","United States of America","2012","2014","7","8","25","0.96"
"6092","NCT01219075","Active, not recruiting","Breast Cancer","Dietary Supplement: soy isoflavones|Other: placebo|Other: questionnaire administration|Procedure: magnetic resonance imaging|Procedure: biopsy|Other: immunohistochemistry staining method|Other: laboratory biomarker analysis|Procedure: mammography","University of Southern California","NA","110","Other|NIH","Interventional","July 1, 2010","December 31, 2017","United States of America","2010","2017","7","12","89","1.23595505617978"
"6093","NCT02030561","Recruiting","Breast Cancer","Drug: Trastuzumab + NK cells","National University Hospital, Singapore","Phase 1|Phase 2","29","Other","Interventional","January 2014","August 2018","Singapore","2014","2018","1","8","55","0.527272727272727"
"6094","NCT01936961","Withdrawn","Breast Cancer","Drug: CTLA-4 Antibody|Radiation: Hypofractionated Radiotherapy","Western Regional Medical Center","NA","0","Other","Interventional","June 2013","April 2014","United States of America","2013","2014","6","4","10","0"
"6095","NCT01614210","Completed","Breast Cancer","Drug: Tamoxifen|Procedure: Breast cancer surgery","University of Utah","Phase 2","52","Other","Interventional","August 2012","November 2016","United States of America","2012","2016","8","11","51","1.01960784313725"
"6096","NCT02576106","Recruiting","Breast Cancer","Device: Cryoablation","Centre Leon Berard","NA","20","Other","Interventional","February 2016","February 2018","France","2016","2018","2","2","24","0.833333333333333"
"6097","NCT01760850","Completed","Breast Cancer","Other: educational intervention|Other: questionnaire administration","Roswell Park Cancer Institute","NA","959","Other|NIH","Interventional","June 2007","April 2015","United States of America","2007","2015","6","4","94","10.2021276595745"
"6098","NCT01881932","Terminated","Breast Cancer","Device: Acupuncture using Seirin® needles|Device: Sham Acupuncture using Park Sham placebo acupuncture device","University of Maryland","NA","19","Other","Interventional","February 2013","April 2015","United States of America","2013","2015","2","4","26","0.730769230769231"
"6099","NCT01372917","Completed","Breast Cancer","NA","National Center for Plastic Surgery, Virginia","NA","39","Other|U.S. Fed|Industry","Observational","January 2010","August 2011","United States of America","2010","2011","1","8","19","2.05263157894737"
"6100","NCT00129597","Unknown status","Breast Cancer","Drug: ketalar","Hospices Civils de Lyon","Phase 4","40","Other","Interventional","December 2004","null","France","2004","NA","12","NA","NA","NA"
"6101","NCT02767986","Completed","Breast Cancer","NA","National Human Genome Research Institute (NHGRI)","NA","75","NIH","Observational","May 10, 2016","February 2, 2017","United States of America","2016","2017","5","2","9","8.33333333333333"
"6102","NCT01306188","Completed","Breast Cancer","Biological: Breast cancer cohort|Biological: Lung cancer cohort","Centre Leon Berard","NA","179","Other","Observational","July 2010","December 2014","France","2010","2014","7","12","53","3.37735849056604"
"6103","NCT00393172","Completed","Breast Cancer","Behavioral: exercise","University of Minnesota - Clinical and Translational Science Institute","Phase 2|Phase 3","400","Other|NIH","Interventional","May 2006","March 2010","United States of America","2006","2010","5","3","46","8.69565217391304"
"6104","NCT01517802","Recruiting","Breast Cancer","Drug: Abiraterone acetate|Drug: Prednisone","Janssen Research & Development, LLC","Phase 3","300","Industry","Interventional","March 28, 2012","April 9, 2018","United Kingdom","2012","2018","3","4","73","4.10958904109589"
"6105","NCT01617954","Completed","Breast Cancer","Device: MammaPrint","Agendia","NA","820","Industry","Observational","May 2012","December 2015","United States of America","2012","2015","5","12","43","19.0697674418605"
"6106","NCT02305498","Active, not recruiting","Breast Cancer","Other: Vigorous yoga practice|Other: Restorative (gentle) yoga practice","Memorial Sloan Kettering Cancer Center","NA","39","Other","Interventional","November 2014","November 2018","United States of America","2014","2018","11","11","48","0.8125"
"6107","NCT00855998","Unknown status","Breast Cancer","NA","Hadassah Medical Organization","NA","300","Other","Observational","March 2009","March 2011","Israel","2009","2011","3","3","24","12.5"
"6108","NCT00190593","Completed","Breast Cancer","Drug: raloxifene|Drug: placebo","Eli Lilly and Company","Phase 3","10000","Industry","Interventional","June 1998","November 2005","United States of America","1998","2005","6","11","89","112.359550561798"
"6109","NCT01275872","Completed","Breast Cancer","Other: Guided Imagery and Progressive Muscle Relaxation","Cyprus University of Technology","NA","200","Other","Interventional","April 2010","October 2011","Cyprus","2010","2011","4","10","18","11.1111111111111"
"6110","NCT03188393","Recruiting","Breast Cancer","Procedure: Biopsy of Breast","NRG Oncology","Phase 2","175","Other|NIH","Interventional","April 13, 2017","March 2019","United States of America","2017","2019","4","3","23","7.60869565217391"
"6111","NCT00034827","Completed","Breast Cancer","Drug: CI-1040","Pfizer","Phase 2","172","Industry","Interventional","January 2002","May 2003","United States of America","2002","2003","1","5","16","10.75"
"6112","NCT00735150","Completed","Breast Cancer","Behavioral: questionnaire, interview","Memorial Sloan Kettering Cancer Center","NA","34","Other","Observational","March 2008","October 2010","United States of America","2008","2010","3","10","31","1.09677419354839"
"6113","NCT01910350","Completed","Breast Cancer","Behavioral: Kin KeeperSM Cancer Prevention Intervention|Other: Standard of care","Michigan State University","NA","516","Other|NIH","Interventional","July 2010","June 2015","United States of America","2010","2015","7","6","59","8.74576271186441"
"6114","NCT00893035","Active, not recruiting","Breast Cancer","NA","Institut du Cancer de Montpellier - Val d'Aurelle","NA","862","Other","Observational","June 2006","December 2020","France","2006","2020","6","12","174","4.95402298850575"
"6115","NCT02943265","Enrolling by invitation","Breast Cancer","Other: Care Coordination Strategies","University of Texas Southwestern Medical Center","NA","1500","Other","Interventional","September 18, 2017","December 2021","United States of America","2017","2021","9","12","51","29.4117647058824"
"6116","NCT02824484","Recruiting","Breast Cancer","Behavioral: GWDP|Behavioral: Control","Arcispedale Santa Maria Nuova-IRCCS","NA","250","Other","Interventional","November 2015","December 2017","Italy","2015","2017","11","12","25","10"
"6117","NCT03326713","Recruiting","Breast Cancer","Behavioral: Telephone Counseling & Navigation (TCN)|Behavioral: Mailed Targeted Print (TP)|Other: Usual Care (UC)","University of New Mexico","NA","927","Other","Interventional","October 1, 2016","September 1, 2021","United States of America","2016","2021","10","9","59","15.7118644067797"
"6118","NCT02695121","Recruiting","Breast Cancer","NA","AstraZeneca","NA","99999","Industry","Observational","February 29, 2016","April 30, 2024","United Kingdom","2016","2024","2","4","98","1020.39795918367"
"6119","NCT03162289","Recruiting","Breast Cancer","Other: Fasting|Other: Vegan|Other: Diet as usual","Charite University, Berlin, Germany","NA","150","Other","Interventional","May 10, 2017","May 10, 2022","Germany","2017","2022","5","5","60","2.5"
"6120","NCT02602041","Completed","Breast Cancer","Other: Literature search and semi-structured interview","University Medical Center Groningen","NA","38","Other","Observational","November 2015","July 1, 2017","Netherlands","2015","2017","11","7","20","1.9"
"6121","NCT01115374","Completed","Breast Cancer","Procedure: Manual lymphatic drainage|Device: low frequency sound waves","Fundacion IMIM","NA","34","Other","Interventional","May 2008","July 2009","Spain","2008","2009","5","7","14","2.42857142857143"
"6122","NCT02303366","Completed","Breast Cancer","Radiation: Stereotactic Ablative Body Radiosurgery (SABR)|Drug: MK-3475","Peter MacCallum Cancer Centre, Australia","Phase 1","15","Other","Interventional","September 2015","April 2017","Australia","2015","2017","9","4","19","0.789473684210526"
"6123","NCT02809404","Completed","Breast Cancer","Drug: Everolimus","Radboud University","NA","75","Other","Observational","June 2015","January 2017","Netherlands","2015","2017","6","1","19","3.94736842105263"
"6124","NCT02893774","Recruiting","Breast Cancer","Other: quality of life assessment","Institut Cancerologie de l'Ouest","NA","402","Other","Interventional","March 2015","March 2022","France","2015","2022","3","3","84","4.78571428571429"
"6125","NCT00436254","Active, not recruiting","Breast Cancer","Biological: pNGVL3-hICD vaccine|Biological: sargramostim|Other: flow cytometry|Other: immunologic technique|Other: immunoenzyme technique|Genetic: protein expression analysis|Procedure: biopsy","University of Washington","Phase 1","66","Other|NIH","Interventional","October 2001","null","United States of America","2001","NA","10","NA","NA","NA"
"6126","NCT01611038","Completed","Breast Cancer","Dietary Supplement: Methylselenocysteine|Dietary Supplement: Placebo","Rutgers, The State University of New Jersey","NA","100","Other","Interventional","October 2011","June 2015","United States of America","2011","2015","10","6","44","2.27272727272727"
"6127","NCT03275987","Completed","Breast Cancer","Behavioral: Mammography direct mail coupled with a financial incentive|Behavioral: Usual care|Behavioral: Colonoscopy direct mail coupled with a financial incentive","Minnesota Department of Health","NA","138554","Other","Interventional","April 23, 2014","May 10, 2017","United States of America","2014","2017","4","5","37","3744.7027027027"
"6128","NCT02362776","Completed","Breast Cancer","Other: Venous blood sample","Hasselt University","NA","426","Other","Observational","October 2009","July 2012","Belgium","2009","2012","10","7","33","12.9090909090909"
"6129","NCT02724514","Recruiting","Breast Cancer","Other: non-invasive image & bioimpedance based techniques","University Health Network, Toronto","NA","60","Other","Observational","January 2015","December 2018","Canada","2015","2018","1","12","47","1.27659574468085"
"6130","NCT02647385","Active, not recruiting","Breast Cancer","Drug: Block with lidocaine for SAM and PEC I block","Hospital Sirio-Libanes","NA","50","Other","Interventional","December 2015","August 2017","Brazil","2015","2017","12","8","20","2.5"
"6131","NCT02659501","Completed","Breast Cancer","Drug: Liposomal bupivacaine|Drug: Bupivacaine with epinephrine|Drug: Morphine sulfate|Drug: Hydrocodone/acetaminophen|Drug: Diazepam","Loma Linda University","NA","24","Other","Interventional","July 2015","July 2017","United States of America","2015","2017","7","7","24","1"
"6132","NCT02523677","Completed","Breast Cancer","NA","University of Illinois at Urbana-Champaign","NA","456","Other","Observational","July 2015","July 31, 2017","United States of America","2015","2017","7","7","24","19"
"6133","NCT02661204","Recruiting","Breast Cancer","Device: Automated breast ultrasound examination (ABUS)","University of Zurich","NA","250","Other","Observational","January 2016","null","Switzerland","2016","NA","1","NA","NA","NA"
"6134","NCT03383107","Not yet recruiting","Breast Cancer","NA","Weill Medical College of Cornell University","NA","60","Other","Observational","December 30, 2017","January 31, 2025","United States of America","2017","2025","12","1","85","0.705882352941177"
